City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Georgetown,MY,76.98,scattered clouds,5.4112,100.3354,Cititel Penang
7,Mehriz,IR,75.7,clear sky,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
11,Cayenne,GF,87.84,light rain,4.9333,-52.3333,Hôtel Le Dronmi
14,Lamar,US,85.64,clear sky,33.6668,-95.5836,Kings Inn Paris TX
18,Fairmont,US,88.38,overcast clouds,39.4851,-80.1426,Clarion Inn
31,Arraial Do Cabo,BR,76.96,few clouds,-22.9661,-42.0278,Pousada Porto Praia
32,Kununurra,AU,76.98,broken clouds,-15.7667,128.7333,Hotel Kununurra
35,Victoria,HK,86.38,light rain,22.2855,114.1577,Mini Hotel Central
38,Jamestown,US,77.85,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
41,Kalmunai,LK,80.53,broken clouds,7.4167,81.8167,VS Villa
42,Mpongwe,ZM,75.31,clear sky,-13.5091,28.155,GCMF Office & Lodge
43,Butaritari,KI,81.7,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
45,Caucaia,BR,88.07,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
46,Hithadhoo,MV,83.86,broken clouds,-0.6,73.0833,Scoop Guest House
55,Pina,PH,77.77,overcast clouds,12.1936,124.4039,Brgy Peña Purok 1
59,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
60,Hirara,JP,82.53,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
62,Laguna,US,75.24,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
68,Ugoofaaru,MV,82.62,overcast clouds,5.6667,73.0,Ungoofaaru Inn
71,Anloga,GH,79.74,overcast clouds,5.7947,0.8973,Pin Drop Hotel
72,Howard Springs,AU,80.51,broken clouds,-12.497,131.047,buffalo beach hostel
73,Castro,BR,77.49,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
74,Marshall,US,79.07,clear sky,34.3834,-86.3333,Riverview Campground
77,Mattru,SL,78.84,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
85,Saint George,US,75.67,scattered clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
86,Vila Velha,BR,76.95,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
87,Sabha,LY,79.34,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
88,Kapaa,US,77.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
90,Labuhan,ID,77.97,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
92,Cabul-An,PH,81.03,overcast clouds,10.15,124.05,Pandanon floating cottage
95,Kavieng,PG,78.66,moderate rain,-2.5744,150.7967,Nusa Island Retreat
96,Harper,LR,79.41,scattered clouds,4.375,-7.7169,Screensaver
100,Sao Gabriel Da Cachoeira,BR,86.58,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
106,Port Blair,IN,80.76,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
117,Buchanan,LR,80.56,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
118,Cabra,ES,81.84,scattered clouds,37.4725,-4.4421,MS Fuente Las Piedras
124,Meulaboh,ID,77.43,overcast clouds,4.1363,96.1285,Kost Pria
126,Khed Brahma,IN,83.97,broken clouds,24.0333,73.05,UMIYA NASTA HOUSE
128,Sur,OM,83.55,clear sky,22.5667,59.5289,Sur Plaza Hotel
132,Narasannapeta,IN,79.83,few clouds,18.4167,84.05,G.lingaraju home
135,Hilo,US,76.8,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
137,Atuona,PF,78.55,broken clouds,-9.8,-139.0333,Villa Enata
146,Yataity,PY,78.21,overcast clouds,-26.3667,-56.0667,Cristhian Ortigoza
147,Auki,SB,76.95,broken clouds,-8.7676,160.7034,Auki Motel
148,Sao Filipe,CV,80.29,scattered clouds,14.8961,-24.4956,Hotel Xaguate
149,Rabak,SD,89.28,few clouds,13.1809,32.74,فندق ربك Rabak Hotel
150,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
155,Bilma,NE,87.58,clear sky,18.6853,12.9164,Expeditions Ténére voyages
160,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
161,Kudahuvadhoo,MV,83.66,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
162,Itoman,JP,79.18,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
170,Huilong,CN,81.03,light rain,31.8111,121.655,Hilton Garden Inn Qidong
172,Kanye,BW,75.69,overcast clouds,-24.9667,25.3327,The Savanna Lodge
173,Kouroussa,GN,81.27,overcast clouds,10.65,-9.8833,Hotel Paillote
175,Rincon,US,75.65,light rain,32.296,-81.2354,Days Inn Rincon
181,Bathsheba,BB,84.74,few clouds,13.2167,-59.5167,Atlantis Hotel
184,Huicheng,CN,79.63,clear sky,23.0385,116.2899,Huilai Hotel
186,Dingle,PH,75.18,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
